gene,compare,medianP,meanlogFC,DEGtype,Gene_Name,
ENSG00000005302,D5/D6,3.30E-06,-0.495,non-DEG,MSL3,
ENSG00000005436,D5/D6,0.0109,0.297,non-DEG,GCFC2,
ENSG00000005448,D5/D6,0.0847,-0.215,non-DEG,WDR54,
ENSG00000005469,D5/D6,0.00954,-0.295,non-DEG,CROT,
ENSG00000005471,D5/D6,0.00427,0.228,non-DEG,ABCB4,
ENSG00000005483,D5/D6,0.00524,-0.229,non-DEG,KMT2E,
ENSG00000005486,D5/D6,0.00671,-0.502,non-DEG,RHBDD2,
ENSG00000005513,D5/D6,0.0284,0.583,up-regulate,SOX8,
ENSG00000005700,D5/D6,0.279,-0.099,non-DEG,IBTK,
ENSG00000005801,D5/D6,0.0585,0.175,non-DEG,ZNF195,
ENSG00000005810,D5/D6,6.39E-05,0.184,non-DEG,MYCBP2,
ENSG00000005812,D5/D6,0.151,-0.1,non-DEG,FBXL3,
ENSG00000005844,D5/D6,4.62E-05,-1.052,down-regulate,ITGAL,
ENSG00000005884,D5/D6,0.000127,0.763,non-DEG,ITGA3,
ENSG00000005889,D5/D6,0.0606,-0.115,non-DEG,ZFX,
ENSG00000006007,D5/D6,0.00773,-0.252,non-DEG,GDE1,
ENSG00000006015,D5/D6,0.0154,0.24,non-DEG,REX1BD,
ENSG00000006118,D5/D6,0.244,0.027,non-DEG,TMEM132A,
ENSG00000006125,D5/D6,0.00128,0.207,non-DEG,AP2B1,
ENSG00000006210,D5/D6,0.00162,-2.055,down-regulate,CX3CL1,
ENSG00000006282,D5/D6,0.00278,0.242,non-DEG,SPATA20,
ENSG00000006453,D5/D6,1.47E-05,0.671,non-DEG,BAIAP2L1,
ENSG00000006459,D5/D6,7.37E-06,0.886,non-DEG,KDM7A,
ENSG00000006530,D5/D6,0.148,0.143,non-DEG,AGK,
ENSG00000006555,D5/D6,0.0079,0.3,non-DEG,TTC22,
ENSG00000006576,D5/D6,0.00115,-0.309,non-DEG,PHTF2,
ENSG00000006625,D5/D6,0.135,0.114,non-DEG,GGCT,
ENSG00000006652,D5/D6,0.11,0.152,non-DEG,IFRD1,
ENSG00000006659,D5/D6,0.0928,-0.292,non-DEG,LGALS14,
ENSG00000006695,D5/D6,0.0966,0.179,non-DEG,COX10,
ENSG00000006704,D5/D6,3.10E-06,0.964,up-regulate,GTF2IRD1,
ENSG00000006744,D5/D6,0.00218,0.221,non-DEG,ELAC2,
ENSG00000006756,D5/D6,0.000345,0.448,non-DEG,ARSD,
ENSG00000006757,D5/D6,0.0019,0.383,non-DEG,PNPLA4,
ENSG00000007038,D5/D6,2.50E-05,-2.52,down-regulate,PRSS21,
ENSG00000007168,D5/D6,0.112,0.085,non-DEG,PAFAH1B1,
ENSG00000007202,D5/D6,0.000114,0.234,non-DEG,KIAA0100,
ENSG00000007237,D5/D6,1.17E-06,-0.969,down-regulate,GAS7,
ENSG00000007264,D5/D6,0.00645,1.808,up-regulate,MATK,
ENSG00000007312,D5/D6,0.000181,-0.362,non-DEG,CD79B,
ENSG00000007314,D5/D6,0.00653,-0.555,non-DEG,SCN4A,
ENSG00000007341,D5/D6,0.0275,0.272,non-DEG,ST7L,
ENSG00000007372,D5/D6,0.0146,-0.889,non-DEG,PAX6,
ENSG00000007376,D5/D6,0.493,0.217,non-DEG,RPUSD1,
ENSG00000007516,D5/D6,0.177,-0.414,non-DEG,BAIAP3,
ENSG00000007545,D5/D6,0.0741,0.233,non-DEG,CRAMP1,
ENSG00000007866,D5/D6,0.0433,0.041,non-DEG,TEAD3,
ENSG00000007923,D5/D6,0.00151,0.344,non-DEG,DNAJC11,
ENSG00000007944,D5/D6,0.00156,-0.212,non-DEG,MYLIP,
ENSG00000007968,D5/D6,0.001,-0.691,non-DEG,E2F2,
ENSG00000008056,D5/D6,0.00152,-1.196,down-regulate,SYN1,
ENSG00000008086,D5/D6,0.178,0.234,non-DEG,CDKL5,
ENSG00000008226,D5/D6,0.256,-0.426,non-DEG,DLEC1,
ENSG00000008256,D5/D6,8.62E-09,1.407,up-regulate,CYTH3,
ENSG00000008277,D5/D6,0.0444,0.309,non-DEG,ADAM22,
ENSG00000008283,D5/D6,0.000621,-1.012,down-regulate,CYB561,
ENSG00000008294,D5/D6,9.08E-07,0.592,non-DEG,SPAG9,
ENSG00000008300,D5/D6,1.52E-06,-1.777,down-regulate,CELSR3,
ENSG00000008311,D5/D6,0.0293,0.419,non-DEG,AASS,
ENSG00000008382,D5/D6,0.00136,-0.494,non-DEG,MPND,
ENSG00000008394,D5/D6,5.01E-06,-1.794,down-regulate,MGST1,
ENSG00000008405,D5/D6,1.44E-08,2.332,up-regulate,CRY1,
ENSG00000008441,D5/D6,0.019,1.017,up-regulate,NFIX,
ENSG00000008513,D5/D6,0.00296,-0.326,non-DEG,ST3GAL1,
ENSG00000008517,D5/D6,3.11E-06,-1.362,down-regulate,IL32,
ENSG00000008710,D5/D6,0.135,0.213,non-DEG,PKD1,
ENSG00000008735,D5/D6,0.000186,1.168,up-regulate,MAPK8IP2,
ENSG00000008838,D5/D6,0.0699,-0.135,non-DEG,MED24,
ENSG00000008853,D5/D6,3.02E-05,0.585,non-DEG,RHOBTB2,
ENSG00000008869,D5/D6,0.129,0.071,non-DEG,HEATR5B,
ENSG00000008988,D5/D6,8.37E-05,0.267,non-DEG,RPS20,
ENSG00000009307,D5/D6,1.09E-05,-0.291,non-DEG,CSDE1,
ENSG00000009335,D5/D6,0.0295,0.075,non-DEG,UBE3C,
ENSG00000009413,D5/D6,0.242,0.016,non-DEG,REV3L,
ENSG00000009954,D5/D6,0.00302,0.126,non-DEG,BAZ1B,
ENSG00000010017,D5/D6,0.00124,-0.286,non-DEG,RANBP9,
ENSG00000010030,D5/D6,2.57E-07,-2.351,down-regulate,ETV7,
ENSG00000010165,D5/D6,0.00826,0.28,non-DEG,METTL13,
ENSG00000010244,D5/D6,0.223,0.061,non-DEG,ZNF207,
ENSG00000010278,D5/D6,4.53E-06,-2.203,down-regulate,CD9,
ENSG00000010295,D5/D6,0.00218,-0.306,non-DEG,IFFO1,
ENSG00000010310,D5/D6,2.02E-05,-0.78,non-DEG,GIPR,
ENSG00000010322,D5/D6,0.151,-0.011,non-DEG,NISCH,
ENSG00000010404,D5/D6,1.56E-06,-0.576,non-DEG,IDS,
ENSG00000010610,D5/D6,0.000178,-2.498,down-regulate,CD4,
ENSG00000010671,D5/D6,1.22E-05,0.445,non-DEG,BTK,
ENSG00000010704,D5/D6,0.0567,-0.77,non-DEG,HFE,
ENSG00000010803,D5/D6,0.01,0.354,non-DEG,SCMH1,
ENSG00000010810,D5/D6,5.27E-06,0.655,non-DEG,FYN,
ENSG00000010818,D5/D6,0.000205,0.216,non-DEG,HIVEP2,
ENSG00000011007,D5/D6,0.0753,-0.12,non-DEG,ELOA,
ENSG00000011021,D5/D6,0.568,0.1,non-DEG,CLCN6,
ENSG00000011028,D5/D6,5.42E-09,2.307,up-regulate,MRC2,
ENSG00000011052,D5/D6,0.000314,0.534,non-DEG,NME1-NME2,
ENSG00000011114,D5/D6,0.00113,-0.298,non-DEG,BTBD7,
ENSG00000011132,D5/D6,0.0107,-0.226,non-DEG,APBA3,
ENSG00000011198,D5/D6,0.055,-0.371,non-DEG,ABHD5,
ENSG00000011258,D5/D6,0.0013,0.285,non-DEG,MBTD1,
ENSG00000011260,D5/D6,2.66E-05,0.438,non-DEG,UTP18,
ENSG00000011295,D5/D6,0.0068,0.256,non-DEG,TTC19,
ENSG00000011304,D5/D6,0.0121,0.353,non-DEG,PTBP1,
ENSG00000011376,D5/D6,0.0672,0.18,non-DEG,LARS2,
ENSG00000011405,D5/D6,0.0114,-0.19,non-DEG,PIK3C2A,
ENSG00000011422,D5/D6,0.00484,-0.746,non-DEG,PLAUR,
ENSG00000011426,D5/D6,0.000296,-0.748,non-DEG,ANLN,
ENSG00000011454,D5/D6,0.0657,0.096,non-DEG,RABGAP1,
ENSG00000011478,D5/D6,0.193,0.164,non-DEG,QPCTL,
ENSG00000011485,D5/D6,0.0344,0.098,non-DEG,PPP5C,
ENSG00000011523,D5/D6,0.000415,0.454,non-DEG,CEP68,
ENSG00000011566,D5/D6,0.0909,0.139,non-DEG,MAP4K3,
ENSG00000011590,D5/D6,0.16,-0.242,non-DEG,ZBTB32,
ENSG00000011638,D5/D6,0.00797,-0.392,non-DEG,LDAF1,
ENSG00000012048,D5/D6,0.0513,0.372,non-DEG,BRCA1,
ENSG00000012061,D5/D6,0.00575,0.213,non-DEG,ERCC1,
ENSG00000012124,D5/D6,1.23E-07,0.616,non-DEG,CD22,
ENSG00000012171,D5/D6,0.0449,-0.682,non-DEG,SEMA3B,
ENSG00000012232,D5/D6,0.0733,0.092,non-DEG,EXTL3,
ENSG00000012660,D5/D6,0.124,-0.082,non-DEG,ELOVL5,
ENSG00000012779,D5/D6,0.531,0.094,non-DEG,ALOX5,
ENSG00000012822,D5/D6,9.19E-05,-0.448,non-DEG,CALCOCO1,
ENSG00000012963,D5/D6,0.0189,-0.192,non-DEG,UBR7,
ENSG00000012983,D5/D6,0.0113,0.181,non-DEG,MAP4K5,
ENSG00000013016,D5/D6,0.000245,-0.941,down-regulate,EHD3,
ENSG00000013306,D5/D6,0.00308,0.373,non-DEG,SLC25A39,
ENSG00000013364,D5/D6,0.000179,-0.371,non-DEG,MVP,
ENSG00000013375,D5/D6,0.0506,-0.33,non-DEG,PGM3,
ENSG00000013392,D5/D6,0.00115,-0.295,non-DEG,RWDD2A,
ENSG00000013503,D5/D6,0.000826,0.319,non-DEG,POLR3B,
ENSG00000013523,D5/D6,0.00036,0.343,non-DEG,ANGEL1,
ENSG00000013563,D5/D6,0.0989,-0.236,non-DEG,DNASE1L1,
ENSG00000013573,D5/D6,0.119,0.179,non-DEG,DDX11,
ENSG00000013583,D5/D6,0.000969,1.107,up-regulate,HEBP1,
ENSG00000013588,D5/D6,0.0133,-0.422,non-DEG,GPRC5A,
ENSG00000013810,D5/D6,0.00654,-0.292,non-DEG,TACC3,
ENSG00000014123,D5/D6,0.105,-0.069,non-DEG,UFL1,
ENSG00000014138,D5/D6,0.118,-0.155,non-DEG,POLA2,
ENSG00000014216,D5/D6,0.00307,-0.164,non-DEG,CAPN1,
ENSG00000014641,D5/D6,0.00045,0.241,non-DEG,MDH1,
ENSG00000014914,D5/D6,0.0301,-0.41,non-DEG,MTMR11,
ENSG00000014919,D5/D6,0.0677,0.091,non-DEG,COX15,
ENSG00000015153,D5/D6,0.346,-0.148,non-DEG,YAF2,
ENSG00000015475,D5/D6,0.00472,-0.364,non-DEG,BID,
ENSG00000015479,D5/D6,0.0632,0.081,non-DEG,MATR3,
ENSG00000015568,D5/D6,6.25E-08,-1.123,down-regulate,RGPD5,
ENSG00000015592,D5/D6,0.0953,-0.909,down-regulate,STMN4,
ENSG00000015676,D5/D6,0.0955,0.259,non-DEG,NUDCD3,
ENSG00000016391,D5/D6,8.53E-07,0.883,non-DEG,CHDH,
ENSG00000017427,D5/D6,0.0102,-0.897,down-regulate,IGF1,
ENSG00000017483,D5/D6,0.000751,0.37,non-DEG,SLC38A5,
ENSG00000017797,D5/D6,0.00262,0.234,non-DEG,RALBP1,
ENSG00000018189,D5/D6,0.0501,-0.139,non-DEG,RUFY3,
ENSG00000018408,D5/D6,0.0159,-0.471,non-DEG,WWTR1,
ENSG00000018699,D5/D6,0.00499,0.216,non-DEG,TTC27,
ENSG00000019144,D5/D6,0.115,0.522,non-DEG,PHLDB1,
ENSG00000019485,D5/D6,0.00524,0.438,non-DEG,PRDM11,
ENSG00000019582,D5/D6,2.19E-05,-0.444,non-DEG,CD74,
ENSG00000019995,D5/D6,0.0195,0.201,non-DEG,ZRANB1,
ENSG00000020129,D5/D6,0.005,0.255,non-DEG,NCDN,
ENSG00000020577,D5/D6,0.0028,0.371,non-DEG,SAMD4A,
ENSG00000020633,D5/D6,0.000688,-0.364,non-DEG,RUNX3,
ENSG00000020922,D5/D6,0.00147,0.237,non-DEG,MRE11,
ENSG00000021355,D5/D6,2.12E-06,-0.845,non-DEG,SERPINB1,
ENSG00000021645,D5/D6,9.88E-08,1.484,up-regulate,NRXN3,
ENSG00000021776,D5/D6,0.00288,0.203,non-DEG,AQR,
ENSG00000021826,D5/D6,0.00455,-0.664,non-DEG,CPS1,
ENSG00000022267,D5/D6,6.46E-05,-1.558,down-regulate,FHL1,
ENSG00000022556,D5/D6,0.0274,0.265,non-DEG,NLRP2,
ENSG00000022567,D5/D6,0.0497,0.198,non-DEG,SLC45A4,
ENSG00000022840,D5/D6,0.0267,-0.168,non-DEG,RNF10,
ENSG00000022976,D5/D6,0.00482,0.322,non-DEG,ZNF839,
ENSG00000023171,D5/D6,4.54E-07,1.107,up-regulate,GRAMD1B,
ENSG00000023191,D5/D6,0.00266,0.295,non-DEG,RNH1,
ENSG00000023228,D5/D6,0.0148,0.107,non-DEG,NDUFS1,
ENSG00000023287,D5/D6,0.132,0.093,non-DEG,RB1CC1,
ENSG00000023330,D5/D6,0.00533,-0.196,non-DEG,ALAS1,
ENSG00000023445,D5/D6,1.44E-06,-1.413,down-regulate,BIRC3,
ENSG00000023516,D5/D6,0.254,-0.085,non-DEG,AKAP11,
ENSG00000023572,D5/D6,0.00115,0.389,non-DEG,GLRX2,
ENSG00000023608,D5/D6,0.00475,0.307,non-DEG,SNAPC1,
ENSG00000023697,D5/D6,0.0483,-0.221,non-DEG,DERA,
ENSG00000023734,D5/D6,0.124,0.136,non-DEG,STRAP,
ENSG00000023839,D5/D6,0.00426,-0.524,non-DEG,ABCC2,
ENSG00000023892,D5/D6,0.0691,-0.094,non-DEG,DEF6,
ENSG00000023909,D5/D6,0.00735,-0.267,non-DEG,GCLM,
ENSG00000024526,D5/D6,0.00373,-0.669,non-DEG,DEPDC1,
ENSG00000025293,D5/D6,0.00228,0.164,non-DEG,PHF20,
ENSG00000025434,D5/D6,0.115,-0.367,non-DEG,NR1H3,
ENSG00000025708,D5/D6,0.00307,0.279,non-DEG,TYMP,
ENSG00000025770,D5/D6,0.0184,0.185,non-DEG,NCAPH2,
ENSG00000025772,D5/D6,0.000327,0.358,non-DEG,TOMM34,
ENSG00000025796,D5/D6,0.387,0.001,non-DEG,SEC63,
ENSG00000026025,D5/D6,0.000138,0.47,non-DEG,VIM,
ENSG00000026103,D5/D6,2.23E-05,-0.893,down-regulate,FAS,
ENSG00000026297,D5/D6,0.039,0.153,non-DEG,RNASET2,
ENSG00000026508,D5/D6,0.0345,-0.221,non-DEG,CD44,
ENSG00000026652,D5/D6,1.78E-06,-1.173,down-regulate,AGPAT4,
ENSG00000026751,D5/D6,0.000182,-0.164,non-DEG,SLAMF7,
ENSG00000026950,D5/D6,0.0105,-0.321,non-DEG,BTN3A1,
ENSG00000027001,D5/D6,0.00967,0.226,non-DEG,MIPEP,
ENSG00000027075,D5/D6,0.00339,0.801,non-DEG,PRKCH,
ENSG00000027869,D5/D6,2.75E-05,1.226,up-regulate,SH2D2A,
ENSG00000028116,D5/D6,6.41E-05,-0.432,non-DEG,VRK2,
ENSG00000028137,D5/D6,0.000456,0.364,non-DEG,TNFRSF1B,
ENSG00000028203,D5/D6,0.00844,0.245,non-DEG,VEZT,
ENSG00000028277,D5/D6,1.04E-07,-1.228,down-regulate,POU2F2,
ENSG00000028310,D5/D6,0.0194,0.197,non-DEG,BRD9,
ENSG00000028839,D5/D6,0.0632,0.157,non-DEG,TBPL1,
ENSG00000029153,D5/D6,0.0722,-0.075,non-DEG,ARNTL2,
ENSG00000029363,D5/D6,0.114,0.092,non-DEG,BCLAF1,
ENSG00000029364,D5/D6,0.00176,-0.547,non-DEG,SLC39A9,
ENSG00000029534,D5/D6,6.35E-06,-1.091,down-regulate,ANK1,
ENSG00000029639,D5/D6,0.00311,0.309,non-DEG,TFB1M,
ENSG00000029725,D5/D6,0.000375,0.211,non-DEG,RABEP1,
ENSG00000029993,D5/D6,0.201,0.082,non-DEG,HMGB3,
ENSG00000030066,D5/D6,4.78E-05,0.344,non-DEG,NUP160,
ENSG00000030419,D5/D6,0.024,-0.156,non-DEG,IKZF2,
ENSG00000030582,D5/D6,0.0109,0.183,non-DEG,GRN,
ENSG00000031081,D5/D6,5.77E-08,-0.876,non-DEG,ARHGAP31,
ENSG00000031691,D5/D6,0.00924,-0.312,non-DEG,CENPQ,
ENSG00000031698,D5/D6,0.00687,0.117,non-DEG,SARS1,
ENSG00000032389,D5/D6,0.0365,0.189,non-DEG,EIPR1,
ENSG00000032742,D5/D6,0.0129,-0.295,non-DEG,IFT88,
ENSG00000033011,D5/D6,0.156,0.233,non-DEG,ALG1,
ENSG00000033030,D5/D6,0.0145,0.155,non-DEG,ZCCHC8,
ENSG00000033050,D5/D6,0.000668,0.271,non-DEG,ABCF2,
ENSG00000033100,D5/D6,0.0894,-0.063,non-DEG,CHPF2,
ENSG00000033170,D5/D6,0.000152,-0.344,non-DEG,FUT8,
ENSG00000033178,D5/D6,0.00249,0.191,non-DEG,UBA6,
ENSG00000033327,D5/D6,0.000485,0.289,non-DEG,GAB2,
ENSG00000033627,D5/D6,0.0229,0.353,non-DEG,ATP6V0A1,
ENSG00000033867,D5/D6,7.10E-05,0.445,non-DEG,SLC4A7,
ENSG00000034152,D5/D6,0.0489,0.246,non-DEG,MAP2K3,
ENSG00000034510,D5/D6,0.116,0.128,non-DEG,TMSB10,
ENSG00000034677,D5/D6,0.0154,-0.145,non-DEG,RNF19A,
ENSG00000034693,D5/D6,0.0923,0.099,non-DEG,PEX3,
ENSG00000035115,D5/D6,0.00497,0.451,non-DEG,SH3YL1,
ENSG00000035141,D5/D6,0.000364,0.384,non-DEG,FAM136A,
ENSG00000035499,D5/D6,0.00997,-0.402,non-DEG,DEPDC1B,
ENSG00000035664,D5/D6,0.000104,-0.791,non-DEG,DAPK2,
ENSG00000035681,D5/D6,0.000368,0.3,non-DEG,NSMAF,
ENSG00000035687,D5/D6,0.000194,0.346,non-DEG,ADSS2,
ENSG00000035720,D5/D6,2.37E-06,-0.945,non-DEG,STAP1,
ENSG00000035862,D5/D6,0.0129,-1.123,down-regulate,TIMP2,
ENSG00000036054,D5/D6,0.0752,-0.063,non-DEG,TBC1D23,
ENSG00000036257,D5/D6,0.00337,-0.227,non-DEG,CUL3,
ENSG00000036448,D5/D6,0.201,0.515,non-DEG,MYOM2,
ENSG00000036549,D5/D6,0.00802,0.169,non-DEG,ZZZ3,
ENSG00000036828,D5/D6,3.12E-06,1.299,up-regulate,CASR,
ENSG00000037042,D5/D6,0.0103,-0.283,non-DEG,TUBG2,
ENSG00000037474,D5/D6,0.000559,0.258,non-DEG,NSUN2,
ENSG00000037637,D5/D6,0.00402,-0.224,non-DEG,FBXO42,
ENSG00000037749,D5/D6,0.0961,-0.163,non-DEG,MFAP3,
ENSG00000037897,D5/D6,0.0426,0.254,non-DEG,METTL1,
ENSG00000038210,D5/D6,0.108,-0.075,non-DEG,PI4K2B,
ENSG00000038382,D5/D6,0.0158,0.045,non-DEG,TRIO,
ENSG00000038532,D5/D6,0.000406,-0.273,non-DEG,CLEC16A,
ENSG00000039068,D5/D6,1.13E-05,-2.055,down-regulate,CDH1,
ENSG00000039123,D5/D6,0.000471,0.247,non-DEG,MTREX,
ENSG00000040487,D5/D6,0.0011,0.408,non-DEG,SLC66A1,
ENSG00000040633,D5/D6,0.0478,0.139,non-DEG,PHF23,
ENSG00000040933,D5/D6,7.13E-05,-0.843,non-DEG,INPP4A,
ENSG00000041802,D5/D6,0.0952,0.091,non-DEG,LSG1,
ENSG00000041880,D5/D6,0.000194,0.501,non-DEG,PARP3,
ENSG00000042062,D5/D6,0.0181,-0.564,non-DEG,RIPOR3,
ENSG00000042088,D5/D6,0.0107,0.208,non-DEG,TDP1,
ENSG00000042286,D5/D6,9.63E-05,-0.409,non-DEG,AIFM2,
ENSG00000042317,D5/D6,0.244,0.25,non-DEG,SPATA7,
ENSG00000042445,D5/D6,0.112,0.186,non-DEG,RETSAT,
ENSG00000042493,D5/D6,9.34E-06,0.813,non-DEG,CAPG,
ENSG00000042753,D5/D6,0.126,-0.164,non-DEG,AP2S1,
ENSG00000042980,D5/D6,0.0161,-0.937,down-regulate,ADAM28,
ENSG00000043093,D5/D6,0.00128,-0.284,non-DEG,DCUN1D1,
ENSG00000043143,D5/D6,0.000933,0.179,non-DEG,JADE2,
ENSG00000043462,D5/D6,0.00695,0.285,non-DEG,LCP2,
ENSG00000043514,D5/D6,0.0142,0.209,non-DEG,TRIT1,
ENSG00000044090,D5/D6,0.0147,-0.179,non-DEG,CUL7,
ENSG00000044115,D5/D6,0.000345,0.374,non-DEG,CTNNA1,
ENSG00000044446,D5/D6,0.0123,0.178,non-DEG,PHKA2,
ENSG00000044459,D5/D6,0.00331,0.327,non-DEG,CNTLN,
ENSG00000044574,D5/D6,1.41E-06,-0.389,non-DEG,HSPA5,
ENSG00000046647,D5/D6,0.00458,0.263,non-DEG,GEMIN8,
ENSG00000046651,D5/D6,0.0179,-0.128,non-DEG,OFD1,
ENSG00000047188,D5/D6,0.378,-0.011,non-DEG,YTHDC2,
ENSG00000047249,D5/D6,0.0556,0.236,non-DEG,ATP6V1H,
ENSG00000047346,D5/D6,2.01E-05,-0.558,non-DEG,FAM214A,
ENSG00000047365,D5/D6,0.0011,0.188,non-DEG,ARAP2,
ENSG00000047410,D5/D6,0.0102,0.11,non-DEG,TPR,
ENSG00000047578,D5/D6,0.0719,-0.135,non-DEG,KATNIP,
ENSG00000047597,D5/D6,0.00151,-2.13,down-regulate,XK,
ENSG00000047621,D5/D6,0.0014,-0.289,non-DEG,C12orf4,
ENSG00000047634,D5/D6,0.000572,0.582,non-DEG,SCML1,
ENSG00000047644,D5/D6,2.54E-09,-2.327,down-regulate,WWC3,
ENSG00000047648,D5/D6,3.21E-07,-1.799,down-regulate,ARHGAP6,
ENSG00000048052,D5/D6,6.61E-06,-1.525,down-regulate,HDAC9,
ENSG00000048162,D5/D6,1.27E-05,0.598,non-DEG,NOP16,
ENSG00000048342,D5/D6,0.0289,0.342,non-DEG,CC2D2A,
ENSG00000048392,D5/D6,0.00104,-0.272,non-DEG,RRM2B,
ENSG00000048462,D5/D6,0.00018,-0.614,non-DEG,TNFRSF17,
ENSG00000048471,D5/D6,2.21E-06,-0.51,non-DEG,SNX29,
ENSG00000048540,D5/D6,1.57E-05,-1.616,down-regulate,LMO3,
ENSG00000048649,D5/D6,0.0484,0.085,non-DEG,RSF1,
ENSG00000048740,D5/D6,2.41E-07,0.654,non-DEG,CELF2,
ENSG00000048828,D5/D6,3.74E-05,0.274,non-DEG,FAM120A,
ENSG00000049089,D5/D6,3.93E-06,-0.671,non-DEG,COL9A2,
ENSG00000049167,D5/D6,0.12,0.175,non-DEG,ERCC8,
ENSG00000049192,D5/D6,0.0653,0.158,non-DEG,ADAMTS6,
ENSG00000049245,D5/D6,0.0642,-0.127,non-DEG,VAMP3,
ENSG00000049246,D5/D6,1.33E-05,-2.039,down-regulate,PER3,
ENSG00000049247,D5/D6,4.20E-05,-2.706,down-regulate,UTS2,
ENSG00000049249,D5/D6,4.13E-08,-2.44,down-regulate,TNFRSF9,
ENSG00000049323,D5/D6,2.20E-06,2.531,up-regulate,LTBP1,
ENSG00000049618,D5/D6,0.145,0.159,non-DEG,ARID1B,
ENSG00000049759,D5/D6,1.76E-05,-0.76,non-DEG,NEDD4L,
ENSG00000049860,D5/D6,0.00349,0.349,non-DEG,HEXB,
ENSG00000049883,D5/D6,5.69E-05,0.576,non-DEG,PTCD2,
ENSG00000050030,D5/D6,0.00548,-0.507,non-DEG,NEXMIF,
ENSG00000050130,D5/D6,0.0305,-0.22,non-DEG,JKAMP,
ENSG00000050327,D5/D6,0.0244,0.302,non-DEG,ARHGEF5,
ENSG00000050344,D5/D6,0.175,0.073,non-DEG,NFE2L3,
ENSG00000050393,D5/D6,0.0161,0.195,non-DEG,MCUR1,
ENSG00000050405,D5/D6,0.0589,0.225,non-DEG,LIMA1,
